9.05E+00,3.33E-02
9.10E+00,2.79E-02
9.15E+00,2.28E-02
9.20E+00,1.79E-02
9.25E+00,1.34E-02
9.30E+00,9.22E-03
9.35E+00,5.33E-03
9.40E+00,1.70E-03
9.45E+00,-1.68E-03
9.50E+00,-4.84E-03
9.55E+00,-7.80E-03
9.60E+00,-1.06E-02
9.65E+00,-1.32E-02
9.70E+00,-1.57E-02
9.75E+00,-1.79E-02
9.80E+00,-2.00E-02
9.85E+00,-2.19E-02
9.90E+00,-2.35E-02
9.95E+00,-2.48E-02
1.00E+01,-2.59E-02
1.01E+01,-2.66E-02
1.01E+01,-2.69E-02
1.02E+01,-2.70E-02
1.02E+01,-2.66E-02
1.03E+01,-2.59E-02
1.03E+01,-2.49E-02
1.04E+01,-2.36E-02
1.04E+01,-2.20E-02
1.05E+01,-2.02E-02
1.05E+01,-1.82E-02
